arm,valid,excluded_reason,n,build,swapMax,agentsAlive,turns_per_agent_min,lat_p50,lat_p95,lat_p99,lat_max,period_p95,cg_peak_mb,cg_swap_max_mb,swap_out_pages,swap_in_pages,psi_mem_some_max,psi_mem_full_max,psi_mem_full_stall_s,psi_cpu_some_max,load1_max,nonbench_mem_mb_max,ev_high,ev_max,ev_oom_kill,ssh_fails,ssh_ms_p95,ssh_ms_max
arm0-build-cold,yes,"",0,1,infinity,0,0,0,0,0,0,0,3028,0,0,0,0,0,0,2.73,1.51,0,0,0,0,0,57,138
arm0-build-coldcache,yes,"",0,1,infinity,0,0,0,0,0,0,0,2992,0,0,0,0,0,0,5.39,2.96,595,0,0,0,0,97,293
arm0-build-cold-fast,no,"final cgroup snapshot empty - scope torn down before run-arm.sh sampled it",0,1,infinity,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,5.04,2.65,730,0,0,0,0,82,123
base-b0-n21,yes,"",21,0,infinity,21,18.44,226,292,368,644,4321,6106,0,0,0,0,0,0,5.3,3.55,722,0,0,0,0,92,148
base-b0-n22,yes,"",22,0,infinity,22,18.36,229,300,406,786,4328,6394,0,0,0,0,0,0,7.49,2.52,842,0,0,0,0,94,208
base-b0-n23,yes,"",23,0,infinity,23,18.34,226,330,456,765,4323,6682,0,0,0,0,0,0,13.2,3.29,823,0,0,0,0,105,492
base-b0-n24,no,"unconstrained N=24 drove the HOST into global memory pressure; earlyoom killed the orchestrator mid-arm",24,0,infinity,-1,18.41,232,313,397,725,4335,-1,0,0,0,0,0,0,4.49,1.62,825,0,0,0,0,31,53
base-b1-n14,yes,"",14,1,infinity,14,18.5,223,289,365,609,4331,7080,0,0,0,0,0,0,13.43,3.76,680,0,0,0,0,87,209
base-b1-n16,yes,"",16,1,infinity,16,18.57,216,282,335,469,4310,7450,0,6183,23,0.36,0.18,0,11.59,3.51,709,0,0,0,0,92,119
base-b1-n18,yes,"",18,1,infinity,18,18.31,232,346,489,1107,4348,7510,0,11629,58,0.6,0.18,0,19.58,3.9,765,0,0,0,0,128,328
base-b1-n20,yes,"",20,1,infinity,20,18.46,214,291,363,635,4321,7560,15,18547,1176,1.17,0.74,0,17.25,4.08,715,0,0,0,0,120,362
ref-b0-n21-r1,yes,"",21,0,infinity,21,18.29,223,429,933,1962,4343,5880,1048,539456,492575,13.21,10.92,11,11.76,2.39,1228,2576,0,0,0,80,261
ref-b0-n22-r1,yes,"",22,0,infinity,22,17.81,245,827,1351,2286,4431,5880,1136,1649969,1530231,15.1,12.07,23,10.72,3.66,641,7565,0,0,0,82,160
ref-b0-n23-r1,yes,"",23,0,infinity,23,17.14,278,1337,2106,5140,4685,5880,1135,2643110,2449992,26.4,19.27,35,14.53,4.04,769,11767,0,0,0,110,357
ref-b0-n24-r1,yes,"",24,0,infinity,24,16.28,341,1855,3062,5354,5189,5880,1242,3576277,3307388,30.54,21.94,48,21.92,6.02,695,16570,0,0,0,134,397
